.venv) harshinisaidonepudi@dhcp-vl2051-348 mle-module-4-93c3173d-HarshiniDonepudi % python project/run_mnist_multiclass.py
Epoch 6 loss 1.3010433109301012 valid acc 14/16
Epoch 6 loss 2.216018878859197 valid acc 15/16
Epoch 6 loss 1.7112386673202762 valid acc 15/16
Epoch 6 loss 1.0025471666657602 valid acc 15/16
Epoch 6 loss 1.374254675824318 valid acc 14/16
Epoch 6 loss 1.6969782464262435 valid acc 14/16
Epoch 6 loss 1.1060398417491262 valid acc 15/16
Epoch 6 loss 0.6101600546402299 valid acc 14/16
Epoch 6 loss 1.021211262175344 valid acc 13/16
Epoch 6 loss 0.8313495510875671 valid acc 15/16
Epoch 6 loss 1.1385817103684972 valid acc 14/16
Epoch 6 loss 0.7513457290536067 valid acc 14/16
Epoch 6 loss 1.0207282410094467 valid acc 14/16
Epoch 6 loss 0.8542944213446096 valid acc 15/16
Epoch 6 loss 0.6403467517686344 valid acc 15/16
Epoch 6 loss 1.556900912640296 valid acc 15/16
Epoch 6 loss 1.1060149176043135 valid acc 14/16
Epoch 6 loss 0.6418954101813541 valid acc 13/16
Epoch 6 loss 0.5554866987743063 valid acc 13/16
Epoch 6 loss 2.9504507381328486 valid acc 16/16
Epoch 6 loss 1.5731616965032487 valid acc 15/16
Epoch 6 loss 0.9756780181690387 valid acc 15/16
Epoch 6 loss 1.330729921051342 valid acc 14/16
Epoch 6 loss 2.046140861050611 valid acc 15/16
Epoch 6 loss 1.161727790909298 valid acc 15/16
Epoch 6 loss 0.912956152827455 valid acc 14/16
Epoch 6 loss 1.3128410642324124 valid acc 15/16
Epoch 6 loss 1.2942001289809726 valid acc 15/16
Epoch 6 loss 1.028421007462683 valid acc 14/16
Epoch 6 loss 1.1850194511376595 valid acc 15/16
Epoch 6 loss 0.56084871423324 valid acc 14/16
Epoch 6 loss 1.423423690289054 valid acc 15/16
Epoch 6 loss 1.2979783267222456 valid acc 16/16
Epoch 6 loss 0.5106601514820679 valid acc 15/16
Epoch 6 loss 0.9327592272155381 valid acc 16/16
Epoch 6 loss 0.7545005219771257 valid acc 15/16
Epoch 6 loss 1.187237346281262 valid acc 15/16
Epoch 6 loss 0.7660126685645758 valid acc 15/16
Epoch 6 loss 1.1569374652126498 valid acc 15/16
Epoch 6 loss 1.3662194272752544 valid acc 14/16
